Team,Opponent,Goal Scored,Ball Possession %,Attempts,On-Target,Off-Target,Blocked,Corners,Offsides,Free Kicks,Saves,Pass Accuracy %,Passes,Distance Covered (Kms),Fouls Committed,Yellow Card,Yellow & Red,Red,Man of the Match,1st Goal,Round,PSO,Goals in PSO,Own goals,Own goal Time
1,2,5,40,13,7,3,3,6,3,11,0,78,306,118,22,0,0,0,1,12.0,1,0,0,-1.0,-1.0
2,1,0,60,6,0,3,3,2,1,25,2,86,511,105,10,0,0,0,0,-1.0,1,0,0,-1.0,-1.0
3,4,0,43,8,3,3,2,0,1,7,3,78,395,112,12,2,0,0,0,-1.0,1,0,0,-1.0,-1.0
4,3,1,57,14,4,6,4,5,1,13,3,86,589,111,6,0,0,0,1,89.0,1,0,0,-1.0,-1.0
5,6,0,64,13,3,6,4,5,0,14,2,86,433,101,22,1,0,0,0,-1.0,1,0,0,1.0,90.0
6,5,1,36,8,2,5,1,2,0,22,2,86,194,100,14,3,0,0,1,90.0,1,0,0,-1.0,-1.0
7,8,3,39,8,3,2,3,4,1,13,2,87,366,102,12,1,0,0,0,4.0,1,0,0,-1.0,-1.0
8,7,3,61,12,5,5,2,5,3,13,0,93,727,103,10,1,0,0,1,24.0,1,0,0,-1.0,-1.0
9,10,2,51,12,5,4,3,5,0,19,1,87,484,103,16,1,0,0,1,58.0,1,0,0,-1.0,-1.0
10,9,1,49,4,1,2,1,1,0,16,4,85,390,111,19,3,0,0,0,62.0,1,0,0,1.0,81.0
11,12,1,72,26,7,9,10,10,0,15,2,92,718,101,10,0,0,0,0,19.0,1,0,0,-1.0,-1.0
12,11,1,28,9,3,5,1,2,0,10,7,67,189,105,15,0,0,0,1,23.0,1,0,0,-1.0,-1.0
13,14,0,52,18,6,7,5,3,5,21,2,85,394,104,10,1,0,0,0,-1.0,1,0,0,-1.0,-1.0
14,13,1,48,10,3,5,2,7,3,15,6,82,342,110,18,2,0,0,1,59.0,1,0,0,-1.0,-1.0
15,16,2,54,11,2,7,2,6,2,17,2,84,462,104,20,2,0,0,1,32.0,1,0,0,-1.0,-1.0
16,15,0,46,14,2,5,7,5,1,22,1,84,388,101,16,1,0,0,0,-1.0,1,0,0,1.0,32.0
17,18,0,50,10,3,3,4,5,1,18,2,83,428,107,18,2,0,0,0,-1.0,1,0,0,-1.0,-1.0
18,17,1,50,10,3,5,2,4,3,19,3,83,392,109,15,2,0,0,1,56.0,1,0,0,-1.0,-1.0
19,20,0,60,25,9,9,7,8,1,17,3,88,595,110,10,2,0,0,1,-1.0,1,0,0,-1.0,-1.0
20,19,1,40,12,4,6,2,1,2,11,9,82,281,106,15,2,0,0,0,35.0,1,0,0,-1.0,-1.0
21,22,1,52,20,4,9,7,7,1,19,1,88,521,103,12,1,0,0,1,20.0,1,0,0,-1.0,-1.0
22,21,1,48,6,2,4,0,2,0,13,3,83,436,108,19,3,0,0,0,50.0,1,0,0,-1.0,-1.0
23,24,1,52,15,4,5,6,6,1,23,0,84,417,102,20,1,0,0,1,65.0,1,0,0,-1.0,-1.0
24,23,0,48,5,0,2,3,5,0,21,3,79,351,103,23,2,0,0,0,-1.0,1,0,0,-1.0,-1.0
25,26,3,61,15,6,7,2,9,1,21,2,89,544,102,17,3,0,0,1,47.0,1,0,0,-1.0,-1.0
26,25,0,39,6,2,4,0,3,3,18,2,82,317,100,18,5,0,0,0,-1.0,1,0,0,-1.0,-1.0
27,28,1,41,6,1,3,2,2,2,11,5,82,326,103,14,0,0,0,0,11.0,1,0,0,-1.0,-1.0
28,27,2,59,17,7,7,3,7,3,16,0,91,492,105,8,1,0,0,1,35.0,1,0,0,-1.0,-1.0
29,30,1,41,8,3,1,4,3,2,10,4,82,352,93,15,2,0,1,0,39.0,1,0,0,-1.0,-1.0
30,29,2,59,14,6,5,3,6,1,17,2,87,565,101,9,1,0,0,1,6.0,1,0,0,-1.0,-1.0
31,32,1,57,10,4,5,1,3,3,18,1,88,552,110,8,1,0,0,0,37.0,1,0,0,1.0,37.0
32,31,2,43,8,2,4,2,3,3,11,3,81,328,107,15,2,0,0,1,60.0,1,0,0,-1.0,-1.0
1,3,3,47,11,3,5,3,7,0,10,0,76,380,115,11,1,0,0,1,59.0,1,0,0,-1.0,-1.0
3,1,1,53,13,1,8,4,4,0,11,1,81,438,110,10,1,0,0,0,47.0,1,0,0,1.0,47.0
7,5,1,47,10,2,4,4,5,1,24,4,76,387,105,19,1,0,0,1,4.0,1,0,0,-1.0,-1.0
5,7,0,53,16,4,10,2,7,1,20,1,77,466,107,23,1,0,0,0,-1.0,1,0,0,-1.0,-1.0
4,2,1,47,13,4,6,3,3,1,15,3,88,521,101,10,0,0,0,1,23.0,1,0,0,-1.0,-1.0
2,4,0,53,8,3,3,2,4,2,11,3,86,590,100,13,0,0,0,0,-1.0,1,0,0,-1.0,-1.0
6,8,0,30,5,0,5,0,2,2,15,2,69,219,106,14,2,0,0,0,-1.0,1,0,0,-1.0,-1.0
8,6,1,70,17,3,6,8,6,1,16,0,89,805,105,14,0,0,0,1,54.0,1,0,0,-1.0,-1.0
14,10,1,49,10,5,5,0,3,1,5,4,88,458,112,7,2,0,0,1,7.0,1,0,0,-1.0,-1.0
10,14,1,51,14,5,5,4,5,0,8,5,85,520,114,5,0,0,0,0,38.0,1,0,0,-1.0,-1.0
9,13,1,44,12,4,6,2,5,0,16,2,77,405,103,11,2,0,0,1,34.0,1,0,0,-1.0,-1.0
13,9,0,56,10,2,6,2,3,1,11,3,81,532,102,15,2,0,0,0,-1.0,1,0,0,-1.0,-1.0
11,15,0,58,10,3,3,4,5,3,26,2,81,505,101,15,3,0,0,0,-1.0,1,0,0,-1.0,-1.0
15,11,3,42,15,5,6,4,2,3,18,3,80,372,104,23,4,0,0,1,53.0,1,0,0,-1.0,-1.0
21,17,2,66,23,9,9,5,10,3,14,0,90,732,105,11,2,0,0,1,90.0,1,0,0,-1.0,-1.0
17,21,0,34,4,0,4,0,1,3,14,7,73,271,109,11,1,0,0,0,-1.0,1,0,0,-1.0,-1.0
16,12,2,58,16,4,6,6,6,1,10,3,84,473,100,9,1,0,0,1,49.0,1,0,0,-1.0,-1.0
12,16,0,42,10,3,6,1,5,0,10,2,75,291,106,10,0,0,0,0,-1.0,1,0,0,-1.0,-1.0
18,22,1,42,12,3,7,2,3,0,15,3,78,309,116,17,4,0,0,0,5.0,1,0,0,-1.0,-1.0
22,18,2,58,20,5,8,7,7,3,17,2,87,547,112,12,1,0,0,1,52.0,1,0,0,-1.0,-1.0
25,27,5,52,23,12,8,3,5,3,16,3,84,468,104,12,0,0,0,1,6.0,1,0,0,-1.0,-1.0
27,25,2,48,15,5,6,4,2,3,15,6,82,477,102,13,1,0,0,0,18.0,1,0,0,-1.0,-1.0
24,20,1,41,17,6,2,9,7,0,7,3,82,346,99,24,4,0,0,0,90.0,1,0,0,-1.0,-1.0
20,24,2,59,13,5,6,2,5,0,24,5,89,485,97,7,0,0,0,1,26.0,1,0,0,-1.0,-1.0
19,23,2,71,16,5,4,7,8,5,15,5,91,699,111,12,0,1,0,1,48.0,1,0,0,-1.0,-1.0
23,19,1,29,8,6,1,1,3,2,17,4,77,213,110,13,2,0,0,0,32.0,1,0,0,-1.0,-1.0
28,26,6,58,12,7,3,2,3,3,13,1,94,593,99,14,1,0,0,1,8.0,1,0,0,-1.0,-1.0
26,28,1,42,8,2,5,1,2,0,17,1,88,398,89,13,3,0,0,0,78.0,1,0,0,-1.0,-1.0
30,32,2,54,7,3,2,2,2,2,18,5,84,449,105,8,2,0,0,0,34.0,1,0,0,-1.0,-1.0
32,30,2,46,14,7,5,2,5,4,10,1,79,338,102,14,3,0,0,1,11.0,1,0,0,-1.0,-1.0
31,29,0,45,9,2,3,4,7,1,11,0,79,424,107,15,2,0,0,0,-1.0,1,0,0,-1.0,-1.0
29,31,3,55,13,3,5,5,5,1,16,2,82,514,108,10,0,0,0,1,40.0,1,0,0,-1.0,-1.0
4,1,3,56,17,7,6,4,4,0,20,1,88,492,101,17,1,0,0,1,10.0,1,0,0,-1.0,-1.0
1,4,0,44,3,1,1,1,2,2,17,5,83,355,98,18,1,1,0,0,-1.0,1,0,0,1.0,23.0
2,3,2,61,22,7,10,5,7,1,19,0,90,655,101,7,0,0,0,0,45.0,1,0,0,-1.0,-1.0
3,2,1,39,8,1,6,1,2,3,8,5,82,357,106,16,2,0,0,1,22.0,1,0,0,-1.0,-1.0
8,5,2,68,16,4,11,1,7,1,18,1,91,762,103,5,0,0,0,1,19.0,1,0,0,-1.0,-1.0
5,8,2,32,6,3,2,1,1,1,6,1,84,247,111,17,6,0,0,0,14.0,1,0,0,-1.0,-1.0
6,7,1,32,8,2,5,1,1,1,12,3,69,226,93,16,2,0,0,0,90.0,1,0,0,-1.0,-1.0
7,6,1,68,14,4,7,3,5,1,17,1,89,619,89,11,4,0,0,1,45.0,1,0,0,-1.0,-1.0
14,9,0,38,5,1,2,2,4,1,11,4,72,305,106,10,1,0,0,0,-1.0,1,0,0,-1.0,-1.0
9,14,0,62,11,4,6,1,2,1,11,1,87,669,104,10,0,0,0,1,-1.0,1,0,0,-1.0,-1.0
10,13,0,53,14,2,7,5,8,3,13,1,86,555,105,13,4,0,0,0,-1.0,1,0,0,-1.0,-1.0
13,10,2,47,4,3,1,0,3,1,16,2,81,418,100,12,2,0,0,1,18.0,1,0,0,-1.0,-1.0
16,11,1,34,9,3,5,1,3,0,17,2,76,244,98,20,2,0,0,0,51.0,1,0,0,-1.0,-1.0
11,16,2,66,8,4,3,1,5,2,20,2,84,565,101,15,3,0,0,1,14.0,1,0,0,-1.0,-1.0
12,15,1,41,17,6,8,3,10,1,12,0,73,324,103,10,3,0,0,1,76.0,1,0,0,-1.0,-1.0
15,12,2,59,13,2,8,3,5,0,11,5,87,524,101,12,2,0,0,0,53.0,1,0,0,-1.0,-1.0
24,19,2,30,11,5,5,1,3,0,8,7,74,237,118,16,4,0,0,1,90.0,1,0,0,-1.0,-1.0
19,24,0,70,26,6,11,9,9,1,16,3,88,719,115,7,0,0,0,0,-1.0,1,0,0,-1.0,-1.0
20,23,0,65,19,3,8,8,7,2,11,3,83,487,95,14,3,0,0,0,-1.0,1,0,0,1.0,74.0
23,20,3,35,13,5,7,1,3,0,16,3,67,212,102,11,2,0,0,1,50.0,1,0,0,-1.0,-1.0
18,21,0,44,10,1,5,4,5,2,11,4,78,467,114,13,3,0,0,0,-1.0,1,0,0,-1.0,-1.0
21,18,2,56,13,6,3,4,9,4,15,1,88,631,105,7,0,0,0,1,36.0,1,0,0,-1.0,-1.0
22,17,2,60,12,3,5,4,6,1,15,5,87,594,103,9,3,0,0,1,31.0,1,0,0,1.0,90.0
17,22,2,40,14,6,6,2,5,1,10,1,82,348,103,14,3,0,0,0,56.0,1,0,0,-1.0,-1.0
30,31,0,54,10,3,4,3,5,1,8,2,86,557,83,11,1,0,0,0,-1.0,1,0,0,-1.0,-1.0
31,30,1,46,11,2,5,4,7,0,12,3,83,462,80,8,0,0,0,1,59.0,1,0,0,-1.0,-1.0
32,29,0,43,8,3,4,1,1,3,18,1,78,281,97,15,1,0,0,0,-1.0,1,0,0,-1.0,-1.0
29,32,1,57,4,2,1,1,3,3,18,3,83,431,100,15,1,0,0,1,74.0,1,0,0,-1.0,-1.0
26,27,1,36,9,4,4,1,0,4,20,5,77,284,102,18,3,0,0,0,33.0,1,0,0,-1.0,-1.0
27,26,2,64,15,7,4,4,6,1,22,4,87,626,107,19,3,0,0,1,51.0,1,0,0,1.0,33.0
28,25,0,48,13,1,7,5,7,3,15,3,88,484,109,11,0,0,0,0,-1.0,1,0,0,-1.0,-1.0
25,28,1,52,15,4,4,7,2,1,14,1,88,556,106,14,2,0,0,1,51.0,1,0,0,-1.0,-1.0
9,11,4,41,9,4,4,1,0,0,16,1,84,351,97,21,3,0,0,1,13.0,2,0,0,-1.0,-1.0
11,9,3,59,9,4,1,4,4,1,21,0,86,547,96,15,5,0,0,0,41.0,2,0,0,-1.0,-1.0
4,7,2,39,6,3,2,1,2,0,14,4,69,269,106,13,0,0,0,1,7.0,2,0,0,-1.0,-1.0
7,4,1,61,20,5,1,8,10,1,13,1,84,583,107,13,1,0,0,0,55.0,2,0,0,-1.0,-1.0
8,1,1,75,25,9,6,10,6,1,20,0,91,1137,137,5,1,0,0,0,12.0,2,1,3,-1.0,-1.0
1,8,1,25,6,1,3,2,5,1,6,9,72,284,146,19,2,0,0,1,41.0,2,1,4,1.0,12.0
15,14,1,54,22,7,8,7,5,2,19,2,81,626,132,5,0,0,0,1,4.0,2,1,3,-1.0,-1.0
14,15,1,46,15,3,10,2,4,0,7,7,79,539,135,19,1,0,0,0,1.0,2,1,2,-1.0,-1.0
21,20,2,47,21,10,7,4,8,0,20,1,83,398,92,6,2,0,0,1,51.0,2,0,0,-1.0,-1.0
20,21,0,53,13,1,4,8,7,2,6,8,85,424,89,18,4,0,0,0,-1.0,2,0,0,-1.0,-1.0
25,30,3,56,24,8,10,6,10,1,10,3,87,621,108,13,0,0,0,1,69.0,2,0,0,-1.0,-1.0
30,25,2,44,11,4,4,3,6,1,14,5,83,453,109,9,1,0,0,0,48.0,2,0,0,-1.0,-1.0
23,22,1,37,12,3,6,3,3,1,13,4,73,271,105,11,1,0,0,1,66.0,2,0,0,-1.0,-1.0
22,23,0,63,18,4,5,9,11,0,12,2,84,599,103,13,2,0,1,0,-1.0,2,0,0,-1.0,-1.0
29,28,1,48,14,4,7,3,2,1,15,1,78,516,136,23,6,0,0,0,90.0,2,1,3,-1.0,-1.0
28,29,1,51,16,2,9,5,7,2,24,3,82,571,143,13,2,0,0,1,57.0,2,1,4,-1.0,-1.0
4,9,0,42,11,4,6,1,4,0,15,0,67,322,103,17,2,0,0,0,-1.0,3,0,0,-1.0,-1.0
9,4,2,58,11,2,7,2,3,0,17,4,81,524,99,15,2,0,0,1,40.0,3,0,0,-1.0,-1.0
21,25,1,57,26,9,7,10,8,1,16,2,89,557,104,14,2,0,0,0,-1.0,3,0,0,1.0,13.0
25,21,2,43,8,3,3,2,4,0,15,9,83,370,105,16,2,0,0,1,13.0,3,0,0,-1.0,-1.0
23,28,0,43,7,3,3,1,1,2,8,0,74,379,107,10,2,0,0,0,-1.0,3,0,0,-1.0,-1.0
28,23,2,57,12,2,4,6,6,1,12,3,80,525,110,7,1,0,0,1,30.0,3,0,0,-1.0,-1.0
1,15,2,38,13,7,4,2,6,1,18,1,69,399,148,25,1,0,0,0,31.0,3,1,3,-1.0,-1.0
15,1,2,62,17,3,10,4,8,0,26,5,82,753,139,18,4,0,0,1,39.0,3,1,4,-1.0,-1.0
9,25,1,40,19,5,8,6,4,1,17,3,86,342,102,6,2,0,0,1,51.0,4,0,0,-1.0,-1.0
25,9,0,60,9,3,5,1,5,1,7,4,90,629,102,16,3,0,0,0,-1.0,4,0,0,-1.0,-1.0
15,28,2,54,22,7,11,4,8,1,17,0,79,622,143,23,2,0,0,1,68.0,4,0,0,-1.0,-1.0
28,15,1,46,11,1,6,4,4,3,24,5,79,479,148,14,1,0,0,0,5.0,4,0,0,-1.0,-1.0
25,28,2,43,12,4,3,5,4,1,5,5,88,510,108,11,1,0,0,1,4.0,5,0,0,-1.0,-1.0
28,25,0,57,15,5,7,3,5,0,12,2,92,698,110,5,2,0,0,0,-1.0,5,0,0,-1.0,-1.0
9,15,4,39,8,6,1,1,2,1,14,1,75,271,99,14,2,0,0,1,18.0,6,0,0,1.0,18.0
15,9,2,61,15,3,8,4,6,1,15,3,83,547,100,13,1,0,0,0,28.0,6,0,0,-1.0,-1.0
